adenocarcinoma,large.cell.carcinoma,normal,squamous.cell.carcinoma
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000021 (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000031.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000028 (5).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000021 (8).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000032.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy (2) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000028 (7).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000022 (10).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000033 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000029 (4).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000022 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000033 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy (3) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000030 (2).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000022 (8).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000034 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000030 (5).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000022 (9).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000039 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000030 (7).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000022.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000039 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy (5).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000032.png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000023 (10).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000040 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000033.png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000023 (5).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000041 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy - Copy (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000035 (5).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000023 (7).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000041 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000035.png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000023 (9).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000041.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11 - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000036 (4).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000024 (10).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000042 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\11.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000037 (2).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000024 (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000043 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 (2) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000038 (2).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000024 (7).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000045.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000038 (5).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000024.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000046.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 (3) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000038 (7).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000025 (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000047 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000041 (4).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000026 (10).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000051.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy (2) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000043 (3).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000026 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000055 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000043.png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000027 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000055 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy (3) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000044 (2).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000027 (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000055.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000046 (4).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000029 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000056 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000046 (5).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000029 (5).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000056 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy (5).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000046 (6).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000029 (9).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000057 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000046 (7).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000030 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000057 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy - Copy (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000048 (5).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000031 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000057.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000048 (7).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000032 (8).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000058 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12 - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000048.png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000033 (9).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000058 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\12.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000049 (3).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000034 (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000059 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13 (2) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000050 (2).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000035 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000059 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000050 (6).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000035 (5).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000060.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13 - Copy (2) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000051 (3).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000035 (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000062 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13 - Copy (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000052 (4).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000035 (8).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000062 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13 - Copy (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000053 (6).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000036 (6).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000062 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13 - Copy - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000053.png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000036 (7).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000062.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13 - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000054 (3).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000040 (10).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000063 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\13.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000054.png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000040 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000063.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\16 (2) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000055 (2).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000040 (5).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000065 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\16 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000055 (3).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000041 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000066 (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\16 - Copy (2) - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000056 (5).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000041 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000066.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\16 - Copy (2).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000056 (7).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000041 (7).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000068 (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\16 - Copy (3).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000057 (3).png
C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\adenocarcinoma\000041 (8).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\large.cell.carcinoma\000068 (4).png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\normal\16 - Copy - Copy.png,C:\Users\rnkha\OneDrive\Desktop\Gajedi\CT_Scan\img\squamous.cell.carcinoma\000057 (4).png
